eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency
191109220501,1911,9,22,5,1,nan,-148.56,60.71,60.0,6.9,Mw,D06
191201312011,1912,1,31,20,11,nan,-147.36,60.75,80.0,6.8,Mw,D06
191211070740,1912,11,7,7,40,nan,-155.07,57.76,90.0,7.3,Mw,D06
191212051227,1912,12,5,12,27,nan,-154.89,57.02,90.0,6.7,Mw,D06
192305041626,1923,5,4,16,26,nan,-156.832,55.828,25.0,7.0,Mw,GEM
193112240340,1931,12,24,3,40,nan,-152.0,60.0,100.0,6.2,Mw,USHIS
193209140843,1932,9,14,8,43,nan,-148.0,61.0,50.0,6.2,Mw,USHIS
193405040436,1934,5,4,4,36,nan,-147.781,61.535,25.0,6.9,Mw,GEM
193405142212,1934,5,14,22,12,nan,-152.25,57.75,60.0,6.5,Mw,USHIS
193407282137,1934,7,28,21,37,nan,-156.699,55.67,20.0,6.7,Mw,GEM
193605081722,1936,5,8,17,22,nan,-153.0,61.0,170.0,6.0,Mw,USHIS
193812301210,1938,12,30,12,10,nan,-153.0,59.0,100.0,5.6,Mw,USHIS
193911130745,1939,11,13,7,45,nan,-122.6,47.4,63.0,5.9,Mw,PGC
194104011041,1941,4,1,10,41,nan,-153.538,56.025,15.0,6.5,Mw,GEM
194107300151,1941,7,30,1,51,nan,-151.033,60.927,35.0,6.4,Mw,GEM
194109280534,1941,9,28,5,34,nan,-157.5,56.5,100.0,7.1,Mw,USHIS
194212051428,1942,12,5,14,28,nan,-152.0,59.5,100.0,7.1,Mw,USHIS
194408141107,1944,8,14,11,7,nan,-155.0,59.0,100.0,6.7,Mw,USHIS
194511032209,1945,11,3,22,9,nan,-151.0,58.5,50.0,6.8,Mw,EVCG&R
194601122025,1946,1,12,20,25,nan,-148.724,59.343,20.0,6.6,Mw,GEM
194606231713,1946,6,23,17,13,nan,-125.34,49.76,30.0,7.3,Mw,PGC
194710160209,1947,10,16,2,9,nan,-148.613,64.131,26.0,7.3,Mw,GEM
194808191350,1948,8,19,13,50,nan,-150.52,62.66,100.0,6.7,Mw,D04
194904131955,1949,4,13,19,55,nan,-122.95,47.13,60.0,6.8,Mw,PGC
195102132213,1951,2,13,22,13,nan,-156.28,55.802,20.0,6.9,Mw,GEM
195106251612,1951,6,25,16,12,nan,-150.1,61.1,128.0,6.2,Mw,USHIS
195111061754,1951,11,6,17,54,nan,-73.55,44.92,31.0,3.5,Mwp,NCE
195211292346,1952,11,29,23,46,nan,-154.056,56.304,20.0,6.9,Mw,GEM
195306151747,1953,6,15,17,47,nan,-154.122,56.282,20.0,6.5,Mw,GEM
195403032046,1954,3,3,20,46,nan,-146.78,61.54,56.0,6.2,Mw,USHIS
195410031118,1954,10,3,11,18,nan,-150.573,60.684,62.0,6.4,Mw,GEM
195501111020,1955,1,11,10,20,nan,-123.672,47.987,37.0,3.7,Mw,PGC
195502241000,1955,2,24,10,0,nan,-122.992,47.908,59.0,2.6,Mw,PGC
195503260655,1955,3,26,6,55,nan,-121.743,47.969,33.0,3.7,Mw,PGC
195504260013,1955,4,26,0,13,nan,-122.154,48.708,29.0,3.0,Mw,PGC
195505032124,1955,5,3,21,24,nan,-123.389,48.351,40.0,2.5,Mw,PGC
195506032021,1955,6,3,20,21,nan,-123.553,49.423,48.0,2.6,Mw,PGC
195506061523,1955,6,6,15,23,nan,-123.326,48.741,58.0,2.6,Mw,PGC
195507050752,1955,7,5,7,52,nan,-123.305,48.43,41.0,3.6,Mw,PGC
195507231902,1955,7,23,19,2,nan,-123.267,47.529,36.0,3.6,Mw,PGC
195507271819,1955,7,27,18,19,nan,-153.465,56.086,25.0,6.3,Mw,GEM
195509121509,1955,9,12,15,9,nan,-124.684,48.357,37.0,2.0,Mw,PGC
195509141303,1955,9,14,13,3,nan,-122.053,47.327,52.0,3.1,Mw,PGC
195510091421,1955,10,9,14,21,nan,-123.881,48.51,57.0,3.1,Mw,PGC
195511212219,1955,11,21,22,19,nan,-122.417,48.432,33.0,3.6,Mw,PGC
195601260247,1956,1,26,2,47,nan,-124.005,49.446,70.0,2.6,Mw,PGC
195602090118,1956,2,9,1,18,nan,-122.515,48.353,26.0,2.4,Mw,PGC
195602090128,1956,2,9,1,28,nan,-122.411,48.352,32.0,3.2,Mw,PGC
195602291729,1956,2,29,17,29,nan,-125.813,49.075,23.0,2.9,Mw,PGC
195603021156,1956,3,2,11,56,nan,-149.34,63.54,79.0,5.6,Mw,D04
195603081732,1956,3,8,17,32,nan,-122.986,48.639,30.0,2.4,Mw,PGC
195604082228,1956,4,8,22,28,nan,-123.18,48.424,69.0,3.9,Mw,PGC
195604271616,1956,4,27,16,16,nan,-123.995,49.479,48.0,3.6,Mw,PGC
195607150601,1956,7,15,6,1,nan,-122.757,48.309,27.0,2.4,Mw,PGC
195610201327,1956,10,20,13,27,nan,-123.184,48.314,49.0,2.8,Mw,PGC
195611040444,1956,11,4,4,44,nan,-123.984,47.687,40.0,2.3,Mw,PGC
195612010826,1956,12,1,8,26,nan,-124.627,47.918,21.0,2.5,Mw,PGC
195612052303,1956,12,5,23,3,nan,-122.594,49.39,29.0,2.0,Mw,PGC
195612261510,1956,12,26,15,10,nan,-124.343,47.617,39.0,2.5,Mw,PGC
195701030606,1957,1,3,6,6,nan,-123.605,49.689,29.0,2.4,Mw,PGC
195702010938,1957,2,1,9,38,nan,-123.963,49.375,64.0,2.6,Mw,PGC
195702051922,1957,2,5,19,22,nan,-122.784,48.225,26.0,2.3,Mw,PGC
195703072331,1957,3,7,23,31,nan,-123.982,49.438,60.0,3.3,Mw,PGC
195703220157,1957,3,22,1,57,nan,-123.759,49.578,40.0,2.7,Mw,PGC
195703220223,1957,3,22,2,23,nan,-123.643,49.614,66.0,2.7,Mw,PGC
195704040013,1957,4,4,0,13,nan,-155.18,58.06,74.0,6.0,Mw,USHIS
195704101130,1957,4,10,11,30,nan,-153.964,55.869,15.0,7.0,Mw,GEM
195705052144,1957,5,5,21,44,nan,-124.651,48.031,39.0,2.3,Mw,PGC
195705061835,1957,5,6,18,35,nan,-123.238,48.521,28.0,2.2,Mw,PGC
195705290934,1957,5,29,9,34,nan,-123.252,47.594,40.0,3.5,Mw,PGC
195707080524,1957,7,8,5,24,nan,-122.135,47.342,53.0,2.9,Mw,PGC
195709061233,1957,9,6,12,33,nan,-123.929,49.313,66.0,3.4,Mw,PGC
195709122303,1957,9,12,23,3,nan,-123.007,48.604,33.0,3.5,Mw,PGC
195709211255,1957,9,21,12,55,nan,-123.471,48.896,45.0,2.6,Mw,PGC
195709241112,1957,9,24,11,12,nan,-123.292,47.78,42.0,2.9,Mw,PGC
195709291643,1957,9,29,16,43,nan,-123.456,48.548,50.0,2.6,Mw,PGC
195710222005,1957,10,22,20,5,nan,-124.195,47.972,32.0,2.5,Mw,PGC
195711140354,1957,11,14,3,54,nan,-122.779,48.98,60.0,2.2,Mw,PGC
195712112247,1957,12,11,22,47,nan,-123.659,49.544,39.0,2.7,Mw,PGC
195801242317,1958,1,24,23,17,nan,-151.76,60.16,52.0,6.4,Mw,USHIS
195802101051,1958,2,10,10,51,nan,-122.384,48.829,31.0,2.8,Mw,PGC
195803011908,1958,3,1,19,8,nan,-124.968,48.691,41.0,2.0,Mw,PGC
195803031949,1958,3,3,19,49,nan,-123.565,49.741,29.0,2.0,Mw,PGC
195804280210,1958,4,28,2,10,nan,-122.661,48.312,35.0,2.6,Mw,PGC
195805011825,1958,5,1,18,25,nan,-123.941,49.303,66.0,2.7,Mw,PGC
195806192150,1958,6,19,21,50,nan,-124.955,48.871,44.0,2.3,Mw,PGC
195807040556,1958,7,4,5,56,nan,-122.062,47.892,25.0,2.8,Mw,PGC
195807210551,1958,7,21,5,51,nan,-122.1,48.865,30.0,2.9,Mw,PGC
195809151425,1958,9,15,14,25,nan,-124.651,47.843,38.0,2.6,Mw,PGC
195810030008,1958,10,3,0,8,nan,-123.341,47.383,40.0,3.6,Mw,PGC
195810122230,1958,10,12,22,30,nan,-124.975,48.699,26.0,2.2,Mw,PGC
195811191502,1958,11,19,15,2,nan,-150.91,60.46,46.0,5.9,Mw,USHIS
195812041745,1958,12,4,17,45,nan,-123.862,49.649,50.0,2.8,Mw,PGC
195812041813,1958,12,4,18,13,nan,-123.873,49.584,39.0,2.7,Mw,PGC
195812071442,1958,12,7,14,42,nan,-122.751,49.087,29.0,2.2,Mw,PGC
195812072023,1958,12,7,20,23,nan,-122.757,49.105,29.0,2.0,Mw,PGC
195902170308,1959,2,17,3,8,nan,-123.979,49.657,35.0,2.9,Mw,PGC
195902172025,1959,2,17,20,25,nan,-124.087,49.208,69.0,2.8,Mw,PGC
195904040204,1959,4,4,2,4,nan,-123.014,48.633,25.0,2.2,Mw,PGC
195904042025,1959,4,4,20,25,nan,-123.44,48.562,44.0,2.8,Mw,PGC
195904140720,1959,4,14,7,20,nan,-155.01,57.95,67.0,6.0,Mw,USHIS
195904191503,1959,4,19,15,3,nan,-151.74,58.2,37.0,6.2,Mw,USHIS
195904200155,1959,4,20,1,55,nan,-123.117,48.68,28.0,2.0,Mw,PGC
195905022035,1959,5,2,20,35,nan,-123.152,48.591,29.0,2.4,Mw,PGC
195905100204,1959,5,10,2,4,nan,-123.01,48.622,29.0,2.7,Mw,PGC
195906041231,1959,6,4,12,31,nan,-152.7,59.98,99.0,5.5,Mw,USHIS
195907040527,1959,7,4,5,27,nan,-122.358,48.112,36.0,3.6,Mw,PGC
195908232311,1959,8,23,23,11,nan,-122.455,48.314,27.0,3.1,Mw,PGC
195908241729,1959,8,24,17,29,nan,-124.353,47.957,45.0,2.4,Mw,PGC
195908281207,1959,8,28,12,7,nan,-149.25,63.4,44.0,6.0,Mw,D04
195909042057,1959,9,4,20,57,nan,-122.845,48.626,40.0,4.0,Mw,PGC
195909170548,1959,9,17,5,48,nan,-122.458,48.363,36.0,3.4,Mw,PGC
195910150451,1959,10,15,4,51,nan,-125.122,48.808,42.0,2.0,Mw,PGC
195911110202,1959,11,11,2,2,nan,-122.509,48.295,39.0,3.5,Mw,PGC
196001162049,1960,1,16,20,49,nan,-150.41,63.29,125.0,5.9,Mw,USHIS
196002101648,1960,2,10,16,48,nan,-123.48,48.491,35.0,2.5,Mw,PGC
196003270139,1960,3,27,1,39,nan,-123.204,48.684,54.0,3.1,Mw,PGC
196006301958,1960,6,30,19,58,nan,-150.9,60.3,55.0,5.9,Mw,USHIS
196008121625,1960,8,12,16,25,nan,-129.6,50.6,25.0,5.5,Mw,PGC
196009011537,1960,9,1,15,37,nan,-153.671,56.239,22.0,6.0,Mw,GEM
196009040521,1960,9,4,5,21,nan,-153.1,56.5,48.0,4.9,Mw,ISC
196009101506,1960,9,10,15,6,nan,-123.176,47.677,60.0,5.5,Mw,PGC
196012111858,1960,12,11,18,58,nan,-129.7,48.9,25.0,4.4,Mw,PGC
196012211439,1960,12,21,14,39,nan,-152.35,61.81,100.0,5.8,Mw,USHIS
196101201709,1961,1,20,17,9,nan,-152.424,56.463,20.0,6.0,Mw,GEM
196101310048,1961,1,31,0,48,nan,-153.865,55.882,29.0,6.1,Mw,GEM
196108151226,1961,8,15,12,26,nan,-135.0,61.0,25.0,5.3,Mwp,SMI
196109051134,1961,9,5,11,34,nan,-150.932,59.8,44.0,6.0,Mw,GEM
196109250227,1961,9,25,2,27,nan,-152.88,60.36,117.0,5.9,Mw,USHIS
196112090215,1961,12,9,2,15,nan,-153.473,56.278,23.0,6.0,Mw,GEM
196202260920,1962,2,26,9,20,nan,-133.779,71.373,35.0,4.1,Mwp,WHI
196204011211,1962,4,1,12,11,nan,-150.7,63.4,108.0,5.6,Mw,USHIS
196205100003,1962,5,10,0,3,nan,-150.11,61.96,82.0,6.0,Mw,USHIS
196206110107,1962,6,11,1,7,nan,-133.321,70.845,35.0,3.9,Mwp,WHI
196207161254,1962,7,16,12,54,nan,-152.39,62.14,50.0,6.0,Mw,D04
196208181643,1962,8,18,16,43,nan,-152.49,62.14,46.0,6.1,Mw,D04
196208181746,1962,8,18,17,46,nan,-152.5,62.21,40.0,6.4,Mw,D04
196210210205,1962,10,21,2,5,nan,-149.21,61.39,71.0,6.0,Mw,USHIS
196301012339,1963,1,1,23,39,nan,-157.542,56.575,75.0,6.4,Mw,GEM
196304031554,1963,4,3,15,54,nan,-147.8,61.2,71.0,5.6,Mw,USHIS
196304061119,1963,4,6,11,19,nan,-149.51,63.38,42.0,5.9,Mw,D04
196305122008,1963,5,12,20,8,nan,-154.249,57.201,37.0,6.0,Mw,GEM
196306240426,1963,6,24,4,26,nan,-152.28,59.499,45.0,6.3,Mw,GEM
196307150836,1963,7,15,8,36,nan,-134.9,61.7,33.0,4.2,Mwp,USC
196309060146,1963,9,6,1,46,nan,-73.0,71.5,33.0,4.4,Mwp,GSC
196310150726,1963,10,15,7,26,nan,-134.7,60.1,33.0,4.3,Mwp,USC
196401050131,1964,1,5,1,31,nan,-149.5,61.93,69.0,4.5,Mw,ISC
196401101555,1964,1,10,15,55,nan,-146.4,63.5,33.0,4.0,Mw,ISC
196401191246,1964,1,19,12,46,nan,-150.2,60.07,58.0,4.3,Mw,ISC
196401281830,1964,1,28,18,30,nan,-147.8,61.2,172.0,4.0,Mw,ISC
196402051450,1964,2,5,14,50,nan,-144.6,63.1,33.0,4.1,Mw,ISC
196402061307,1964,2,6,13,7,nan,-155.853,55.703,20.0,6.9,Mw,GEM
196402061313,1964,2,6,13,13,nan,-155.979,55.65,24.0,6.2,Mw,EVCEHB
196402061500,1964,2,6,15,0,nan,-155.4,56.0,33.0,4.3,Mw,ISC
196402061557,1964,2,6,15,57,nan,-155.1,56.0,33.0,4.1,Mw,ISC
196402070010,1964,2,7,0,10,nan,-155.9,56.0,33.0,4.2,Mw,ISC
196402090229,1964,2,9,2,29,nan,-148.0,61.4,99.0,4.0,Mw,ISC
196402181354,1964,2,18,13,54,nan,-151.8,58.82,33.0,4.1,Mw,ISC
196402200230,1964,2,20,2,30,nan,-154.7,58.43,79.0,4.4,Mw,ISC
196402260909,1964,2,26,9,9,nan,-155.8,56.1,33.0,4.5,Mw,ISC
196402272357,1964,2,27,23,57,nan,-153.4,60.42,165.0,4.2,Mw,ISC
196403072306,1964,3,7,23,6,nan,-149.6,61.82,78.0,4.4,Mw,ISC
196403080455,1964,3,8,4,55,nan,-153.3,60.37,150.0,4.2,Mw,ISC
196403110641,1964,3,11,6,41,nan,-156.0,58.0,119.0,4.4,Mw,ISC
196403220622,1964,3,22,6,22,nan,-147.3,61.54,72.0,4.4,Mw,ISC
196403280336,1964,3,28,3,36,nan,-147.339,60.908,25.0,9.3,Mw,GEM
196403280454,1964,3,28,4,54,nan,-149.411,59.69,30.0,6.5,Mw,EVCEHB
196403280517,1964,3,28,5,17,nan,-146.7,60.39,33.0,5.1,Mw,ISC
196403280531,1964,3,28,5,31,nan,-151.2,57.4,33.0,5.2,Mw,ISC
196403280533,1964,3,28,5,33,nan,-146.313,60.026,31.0,5.6,Mw,EVCEHB
196403280538,1964,3,28,5,38,nan,-147.0,60.8,33.0,5.2,Mw,ISC
196403280542,1964,3,28,5,42,nan,-150.2,64.7,33.0,5.3,Mw,ISC
196403280544,1964,3,28,5,44,nan,-148.8,60.1,33.0,4.9,Mw,ISC
196403280546,1964,3,28,5,46,nan,-149.1,59.08,33.0,5.8,Mw,ISC
196403280549,1964,3,28,5,49,nan,-154.4,56.3,24.0,5.1,Mw,ISC
196403280629,1964,3,28,6,29,nan,-151.3,57.68,20.0,4.9,Mw,ISC
196403280632,1964,3,28,6,32,nan,-147.731,60.031,32.0,5.6,Mw,EVCEHB
196403280636,1964,3,28,6,36,nan,-152.5,57.39,38.0,5.2,Mw,ISC
196403280644,1964,3,28,6,44,nan,-151.289,58.205,25.0,6.5,Mw,GEM
196403280650,1964,3,28,6,50,nan,-151.7,56.9,33.0,5.1,Mw,ISC
196403280653,1964,3,28,6,53,nan,-149.528,58.746,19.0,5.9,Mw,GEM
196403280659,1964,3,28,6,59,nan,-153.28,56.29,25.0,4.8,Mw,ISC
196403280702,1964,3,28,7,2,nan,-150.8,58.64,33.0,4.9,Mw,ISC
196403280703,1964,3,28,7,3,nan,-152.93,56.57,33.0,4.8,Mw,ISC
196403280710,1964,3,28,7,10,nan,-149.391,58.784,20.0,6.4,Mw,GEM
196403280716,1964,3,28,7,16,nan,-150.7,58.0,33.0,5.3,Mw,ISC
196403280728,1964,3,28,7,28,nan,-151.38,57.55,24.0,5.0,Mw,ISC
196403280730,1964,3,28,7,30,nan,-151.602,57.277,20.0,5.8,Mw,GEM
196403280739,1964,3,28,7,39,nan,-149.7,59.1,33.0,4.6,Mw,ISC
196403280744,1964,3,28,7,44,nan,-146.5,59.51,60.0,5.0,Mw,ISC
196403280747,1964,3,28,7,47,nan,-150.57,58.14,23.0,4.9,Mw,ISC
196403280748,1964,3,28,7,48,nan,-153.3,56.96,19.0,5.1,Mw,ISC
196403280750,1964,3,28,7,50,nan,-152.73,56.46,33.0,5.0,Mw,ISC
196403280752,1964,3,28,7,52,nan,-152.81,56.45,33.0,4.7,Mw,ISC
196403280755,1964,3,28,7,55,nan,-150.4,58.26,18.0,4.5,Mw,ISC
196403280759,1964,3,28,7,59,nan,-151.0,57.67,25.0,4.6,Mw,ISC
196403280805,1964,3,28,8,5,nan,-150.0,59.9,33.0,4.7,Mw,ISC
196403280808,1964,3,28,8,8,nan,-146.8,61.63,52.0,4.5,Mw,ISC
196403280813,1964,3,28,8,13,nan,-149.5,59.2,24.0,4.4,Mw,ISC
196403280814,1964,3,28,8,14,nan,-154.4,57.4,33.0,4.4,Mw,ISC
196403280815,1964,3,28,8,15,nan,-146.6,60.2,33.0,4.8,Mw,ISC
196403280830,1964,3,28,8,30,nan,-146.9,60.45,85.0,4.5,Mw,ISC
196403280836,1964,3,28,8,36,nan,-150.6,56.97,33.0,4.9,Mw,ISC
196403280839,1964,3,28,8,39,nan,-151.69,57.449,23.0,5.6,Mw,GEM
196403280842,1964,3,28,8,42,nan,-147.1,60.3,33.0,4.8,Mw,ISC
196403280846,1964,3,28,8,46,nan,-152.6,57.5,33.0,4.5,Mw,ISC
196403280852,1964,3,28,8,52,nan,-147.3,60.4,33.0,4.1,Mw,ISC
196403280855,1964,3,28,8,55,nan,-151.0,57.7,20.0,4.6,Mw,ISC
196403280855,1964,3,28,8,55,nan,-152.0,56.61,25.0,5.0,Mw,ISC
196403280859,1964,3,28,8,59,nan,-152.2,57.2,38.0,4.9,Mw,ISC
196403280901,1964,3,28,9,1,nan,-152.118,56.383,15.0,6.5,Mw,GEM
196403280905,1964,3,28,9,5,nan,-153.18,56.58,24.0,5.4,Mw,ISC
196403280913,1964,3,28,9,13,nan,-151.59,59.32,39.0,5.3,Mw,ISC
196403280917,1964,3,28,9,17,nan,-152.1,57.13,25.0,4.9,Mw,ISC
196403280920,1964,3,28,9,20,nan,-151.7,59.03,33.0,4.4,Mw,ISC
196403280923,1964,3,28,9,23,nan,-145.7,60.1,33.0,4.5,Mw,ISC
196403280926,1964,3,28,9,26,nan,-149.5,61.14,33.0,4.5,Mw,ISC
196403280928,1964,3,28,9,28,nan,-153.7,56.8,33.0,4.0,Mw,ISC
196403280934,1964,3,28,9,34,nan,-152.77,56.62,22.0,5.0,Mw,ISC
196403280945,1964,3,28,9,45,nan,-151.5,59.36,33.0,4.8,Mw,ISC
196403280952,1964,3,28,9,52,nan,-146.323,59.605,25.0,6.2,Mw,GEM
196403280958,1964,3,28,9,58,nan,-153.0,57.1,22.0,4.9,Mw,ISC
196403281012,1964,3,28,10,12,nan,-153.1,56.67,33.0,5.0,Mw,ISC
196403281017,1964,3,28,10,17,nan,-152.2,56.56,15.0,5.0,Mw,ISC
196403281020,1964,3,28,10,20,nan,-152.3,57.8,33.0,4.5,Mw,ISC
196403281025,1964,3,28,10,25,nan,-149.6,58.88,33.0,4.8,Mw,ISC
196403281035,1964,3,28,10,35,nan,-143.7,60.88,25.0,5.2,Mw,ISC
196403281035,1964,3,28,10,35,nan,-152.616,57.031,22.0,6.1,Mw,GEM
196403281043,1964,3,28,10,43,nan,-150.0,59.0,33.0,5.1,Mw,ISC
196403281049,1964,3,28,10,49,nan,-148.4,59.0,18.0,4.6,Mw,ISC
196403281057,1964,3,28,10,57,nan,-145.6,59.87,67.0,4.8,Mw,ISC
196403281059,1964,3,28,10,59,nan,-151.73,57.39,30.0,5.2,Mw,ISC
196403281102,1964,3,28,11,2,nan,-150.0,58.18,14.0,4.7,Mw,ISC
196403281104,1964,3,28,11,4,nan,-152.0,57.5,33.0,4.7,Mw,ISC
196403281132,1964,3,28,11,32,nan,-149.55,58.97,23.0,4.9,Mw,ISC
196403281150,1964,3,28,11,50,nan,-149.6,58.23,23.0,5.3,Mw,ISC
196403281156,1964,3,28,11,56,nan,-150.8,57.8,33.0,4.5,Mw,ISC
196403281203,1964,3,28,12,3,nan,-146.518,60.304,25.0,5.7,Mw,GEM
196403281210,1964,3,28,12,10,nan,-155.0,56.12,33.0,5.0,Mw,ISC
196403281220,1964,3,28,12,20,nan,-154.081,56.35,25.0,6.6,Mw,GEM
196403281231,1964,3,28,12,31,nan,-149.6,59.1,20.0,4.7,Mw,ISC
196403281234,1964,3,28,12,34,nan,-152.2,57.0,33.0,4.5,Mw,ISC
196403281236,1964,3,28,12,36,nan,-154.0,56.7,33.0,5.0,Mw,ISC
196403281239,1964,3,28,12,39,nan,-156.7,56.3,33.0,4.6,Mw,ISC
196403281248,1964,3,28,12,48,nan,-147.0,59.8,33.0,4.4,Mw,ISC
196403281254,1964,3,28,12,54,nan,-148.2,58.75,33.0,4.6,Mw,ISC
196403281259,1964,3,28,12,59,nan,-154.5,56.1,33.0,4.3,Mw,ISC
196403281301,1964,3,28,13,1,nan,-146.98,60.08,20.0,5.2,Mw,ISC
196403281312,1964,3,28,13,12,nan,-148.2,59.83,33.0,4.4,Mw,ISC
196403281316,1964,3,28,13,16,nan,-150.0,58.85,33.0,4.2,Mw,ISC
196403281338,1964,3,28,13,38,nan,-154.3,56.4,33.0,4.3,Mw,ISC
196403281344,1964,3,28,13,44,nan,-152.41,57.46,29.0,4.5,Mw,ISC
196403281347,1964,3,28,13,47,nan,-153.1,56.8,15.0,5.0,Mw,ISC
196403281353,1964,3,28,13,53,nan,-154.4,56.21,33.0,4.5,Mw,ISC
196403281401,1964,3,28,14,1,nan,-154.32,56.6,25.0,5.2,Mw,ISC
196403281418,1964,3,28,14,18,nan,-149.8,57.91,20.0,4.8,Mw,ISC
196403281421,1964,3,28,14,21,nan,-150.7,58.5,33.0,4.4,Mw,ISC
196403281438,1964,3,28,14,38,nan,-150.5,58.1,33.0,4.1,Mw,ISC
196403281441,1964,3,28,14,41,nan,-147.6,60.21,33.0,4.3,Mw,ISC
196403281446,1964,3,28,14,46,nan,-150.8,57.9,33.0,4.8,Mw,ISC
196403281446,1964,3,28,14,46,nan,-154.214,56.259,25.0,6.5,Mw,GEM
196403281500,1964,3,28,15,0,nan,-151.83,56.98,33.0,5.0,Mw,ISC
196403281520,1964,3,28,15,20,nan,-153.0,56.84,40.0,4.7,Mw,ISC
196403281527,1964,3,28,15,27,nan,-149.3,60.9,33.0,4.6,Mw,ISC
196403281531,1964,3,28,15,31,nan,-149.0,59.3,33.0,4.2,Mw,ISC
196403281534,1964,3,28,15,34,nan,-146.7,59.5,33.0,4.4,Mw,ISC
196403281542,1964,3,28,15,42,nan,-147.0,60.57,33.0,4.2,Mw,ISC
196403281543,1964,3,28,15,43,nan,-152.4,57.2,33.0,4.4,Mw,ISC
196403281551,1964,3,28,15,51,nan,-149.7,58.84,21.0,4.7,Mw,ISC
196403281555,1964,3,28,15,55,nan,-146.0,59.8,43.0,4.7,Mw,ISC
196403281604,1964,3,28,16,4,nan,-150.5,57.51,20.0,4.4,Mw,ISC
196403281610,1964,3,28,16,10,nan,-152.6,57.2,33.0,4.3,Mw,ISC
196403281615,1964,3,28,16,15,nan,-149.0,59.7,33.0,4.2,Mw,ISC
196403281617,1964,3,28,16,17,nan,-152.6,56.9,33.0,4.3,Mw,ISC
196403281621,1964,3,28,16,21,nan,-150.5,58.34,33.0,4.5,Mw,ISC
196403281626,1964,3,28,16,26,nan,-149.7,57.46,30.0,5.0,Mw,ISC
196403281644,1964,3,28,16,44,nan,-147.7,59.35,24.0,5.4,Mw,ISC
196403281705,1964,3,28,17,5,nan,-152.08,59.27,33.0,4.0,Mw,ISC
196403281715,1964,3,28,17,15,nan,-146.2,60.2,33.0,4.3,Mw,ISC
196403281727,1964,3,28,17,27,nan,-146.4,59.89,33.0,4.4,Mw,ISC
196403281736,1964,3,28,17,36,nan,-153.0,57.1,33.0,4.6,Mw,ISC
196403281739,1964,3,28,17,39,nan,-149.7,58.84,33.0,4.5,Mw,ISC
196403281749,1964,3,28,17,49,nan,-149.88,57.65,15.0,4.7,Mw,ISC
196403281756,1964,3,28,17,56,nan,-147.38,60.5,33.0,4.0,Mw,ISC
196403281802,1964,3,28,18,2,nan,-148.9,59.62,33.0,4.5,Mw,ISC
196403281803,1964,3,28,18,3,nan,-152.7,56.5,33.0,4.9,Mw,ISC
196403281806,1964,3,28,18,6,nan,-152.3,56.64,33.0,4.8,Mw,ISC
196403281901,1964,3,28,19,1,nan,-147.0,59.94,41.0,4.5,Mw,ISC
196403281903,1964,3,28,19,3,nan,-152.3,57.55,33.0,4.5,Mw,ISC
196403281907,1964,3,28,19,7,nan,-143.7,60.51,33.0,4.3,Mw,ISC
196403281921,1964,3,28,19,21,nan,-146.6,61.6,72.0,4.6,Mw,ISC
196403281929,1964,3,28,19,29,nan,-149.4,58.47,20.0,4.5,Mw,ISC
196403281945,1964,3,28,19,45,nan,-152.47,56.42,20.0,4.5,Mw,ISC
196403282005,1964,3,28,20,5,nan,-146.6,60.1,33.0,4.3,Mw,ISC
196403282115,1964,3,28,21,15,nan,-150.0,58.23,30.0,4.7,Mw,ISC
196403282137,1964,3,28,21,37,nan,-146.2,59.3,20.0,4.5,Mw,ISC
196403282157,1964,3,28,21,57,nan,-152.3,56.61,72.0,4.5,Mw,ISC
196403282209,1964,3,28,22,9,nan,-148.8,59.91,33.0,4.7,Mw,ISC
196403282213,1964,3,28,22,13,nan,-153.4,57.2,25.0,4.6,Mw,ISC
196403282216,1964,3,28,22,16,nan,-148.6,60.03,33.0,4.3,Mw,ISC
196403282222,1964,3,28,22,22,nan,-144.9,60.44,79.0,4.6,Mw,ISC
196403282228,1964,3,28,22,28,nan,-150.55,58.09,22.0,5.4,Mw,ISC
196403282314,1964,3,28,23,14,nan,-151.0,57.7,33.0,4.1,Mw,ISC
196403282324,1964,3,28,23,24,nan,-149.9,59.96,33.0,4.4,Mw,ISC
196403282346,1964,3,28,23,46,nan,-151.305,57.29,20.0,5.6,Mw,GEM
196403282357,1964,3,28,23,57,nan,-150.5,58.36,33.0,4.3,Mw,ISC
196403290012,1964,3,29,0,12,nan,-152.7,56.9,33.0,4.6,Mw,ISC
196403290015,1964,3,29,0,15,nan,-146.8,59.6,33.0,4.5,Mw,ISC
196403290021,1964,3,29,0,21,nan,-150.6,58.3,71.0,4.0,Mw,ISC
196403290051,1964,3,29,0,51,nan,-145.2,60.37,46.0,4.3,Mw,ISC
196403290051,1964,3,29,0,51,nan,-148.9,60.4,33.0,4.4,Mw,ISC
196403290053,1964,3,29,0,53,nan,-151.5,57.44,16.0,5.0,Mw,ISC
196403290055,1964,3,29,0,55,nan,-149.9,57.19,33.0,4.7,Mw,ISC
196403290129,1964,3,29,1,29,nan,-151.434,57.501,22.0,5.7,Mw,GEM
196403290148,1964,3,29,1,48,nan,-153.58,56.32,12.0,5.2,Mw,ISC
196403290207,1964,3,29,2,7,nan,-152.85,56.35,27.0,4.8,Mw,ISC
